table_name,ID,es,SE,CI,mde_05,mde_50
RE_MA,1,0.501,0.065,"0.373, 0.630",0.183,0.239
RE_MA,2,0.532,0.038,"0.457, 0.607",0.107,0.139
RE_MA,3,0.459,0.069,"0.324, 0.594",0.193,0.251
RE_MA,4,0.128,0.064,"0.003, 0.253",0.178,0.232
RE_MA,5,0.887,0.145,"0.603, 1.170",0.405,0.528
RE_MA,6,0.304,0.07,"0.166, 0.442",0.197,0.257
RE_MA,7,0.67,0.052,"0.568, 0.771",0.145,0.189
RE_MA,8,0.553,0.05,"0.455, 0.650",0.139,0.181
RE_MA,9,0.306,0.037,"0.233, 0.379",0.104,0.135
RE_MA,10,0.236,0.066,"0.107, 0.365",0.184,0.24
RE_MA,11,0.613,0.024,"0.565, 0.660",0.068,0.088
RE_MA,12,0.056,0.017,"0.024, 0.089",0.046,0.06
RE_MA,13,0.226,0.026,"0.175, 0.276",0.072,0.093
RE_MA,14,0.382,0.043,"0.298, 0.466",0.12,0.156
RE_MA,15,0.426,0.068,"0.293, 0.558",0.189,0.246
